Chemical	cJMP	Unit	Date	Well	Organism	Media	Dose	Induced	Rep	Time	OD600	Instrument
none	0		2022-03-22	C3	5123	LB	0	FALSE	3	2700	0.1	sunrise
none	0		2022-03-22	C4	5123	LB	0	FALSE	11	2700	0.098	sunrise
none	0		2022-03-22	C5	5144	LB	0	FALSE	3	2700	0.102	sunrise
none	0		2022-03-22	C6	5144	LB	0	FALSE	11	2700	0.101	sunrise
none	0		2022-03-22	C7	0	EZ	0	FALSE	3	2700	0.083	sunrise
none	0		2022-03-22	C8	0	EZ	0	FALSE	11	2700	0.083	sunrise
none	0		2022-03-22	C9	5123	EZ	0	FALSE	3	2700	0.11	sunrise
none	0		2022-03-22	C10	5123	EZ	0	FALSE	11	2700	0.109	sunrise
none	0		2022-03-22	C11	5144	EZ	0	FALSE	3	2700	0.113	sunrise
none	0		2022-03-22	C12	5144	EZ	0	FALSE	11	2700	0.114	sunrise
none	0		2022-03-22	D1	0	LB	0	FALSE	4	2700	0.083	sunrise
none	0		2022-03-22	D2	0	LB	0	FALSE	12	2700	0.084	sunrise
none	0		2022-03-22	D3	5123	LB	0	FALSE	4	2700	0.101	sunrise
none	0		2022-03-22	D4	5123	LB	0	FALSE	12	2700	0.099	sunrise
none	0		2022-03-22	D5	5144	LB	0	FALSE	4	2700	0.102	sunrise
none	0		2022-03-22	D6	5144	LB	0	FALSE	12	2700	0.1	sunrise
none	0		2022-03-22	D7	0	EZ	0	FALSE	4	2700	0.087	sunrise
none	0		2022-03-22	D8	0	EZ	0	FALSE	12	2700	0.088	sunrise
none	0		2022-03-22	D9	5123	EZ	0	FALSE	4	2700	0.109	sunrise
none	0		2022-03-22	D10	5123	EZ	0	FALSE	12	2700	0.108	sunrise
none	0		2022-03-22	D11	5144	EZ	0	FALSE	4	2700	0.108	sunrise
none	0		2022-03-22	D12	5144	EZ	0	FALSE	12	2700	0.113	sunrise
none	0		2022-03-22	E1	0	LB	0	FALSE	5	2700	0.095	sunrise
